fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
07. Mai;0.27;0.34;02. Mrz;0.05;4;8;0.9951;03. Apr;0.64;11;7
07. Jan;0.46;0.14;02. Aug;0.076;15;37;0.99624;Mrz 36;0.49;10. Jul;5
07. Aug;0.57;0.09;02. Mrz;0.065;34;45;0.99417;Mrz 46;0.74;12. Jul;8
05. Sep;0.61;0.08;02. Jan;0.071;16;24;0.99376;Mrz 56;0.77;11. Jan;6
07. Mai;0.685;0.07;02. Mai;0.058;5;9;0.99632;Mrz 38;0.55;10. Sep;4
05. Sep;0.61;0.08;02. Jan;0.071;16;24;0.99376;Mrz 56;0.77;11. Jan;6
10. Apr;0.44;0.42;01. Mai;0.145;34;48;0.99832;Mrz 38;0.86;09. Sep;3
11. Jun;0.47;0.44;01. Jun;0.147;36;51;0.99836;Mrz 38;0.86;09. Sep;4
08. Aug;0.685;0.26;01. Jun;0.088;16;23;0.99694;Mrz 32;0.47;09. Apr;5
07. Jun;0.665;0.1;01. Mai;0.066;27;55;0.99655;Mrz 39;0.51;09. Mrz;5
06. Jul;0.28;0.28;02. Apr;0.012;36;100;0.99064;Mrz 26;0.39;11. Jul;7
06. Jul;0.28;0.28;02. Apr;0.012;36;100;0.99064;Mrz 26;0.39;11. Jul;7
10. Jan;0.31;0.35;01. Jun;0.075;9;28;0.99672;Mrz 24;0.83;11. Feb;7
6;0.5;0.04;02. Feb;0.092;13;26;0.99647;Mrz 46;0.47;10;5
11. Jan;0.42;0.47;Feb 65;0.085;9;34;0.99736;Mrz 24;0.77;12. Jan;7
06. Jun;0.66;0;3;0.115;21;31;0.99629;Mrz 45;0.63;10. Mrz;5
10. Jun;0.5;0.45;02. Jun;0.119;34;68;0.99708;Mrz 23;0.72;10. Sep;6
07. Jan;0.685;0.35;2;0.088;9;92;0.9963;Mrz 28;0.62;09. Apr;5
09. Sep;0.25;0.46;01. Jul;0.062;26;42;0.9959;Mrz 18;0.83;10. Jun;6
06. Apr;0.64;0.21;01. Aug;0.081;14;31;0.99689;Mrz 59;0.66;09. Aug;5
06. Apr;0.64;0.21;01. Aug;0.081;14;31;0.99689;Mrz 59;0.66;09. Aug;5
07. Apr;0.68;0.16;01. Aug;0.078;12;39;0.9977;03. Mai;0.7;09. Sep;6
06. Apr;0.64;0.21;01. Aug;0.081;14;31;0.99689;Mrz 59;0.66;09. Aug;5
06. Apr;0.63;0.21;01. Jun;0.08;12;32;0.99689;Mrz 58;0.66;09. Aug;5
09. Mrz;0.43;0.44;01. Sep;0.085;9;22;0.99708;Mrz 28;0.55;09. Mai;5
09. Mrz;0.43;0.44;01. Sep;0.085;9;22;0.99708;Mrz 28;0.55;09. Mai;5
8;0.42;0.32;02. Mai;0.08;26;122;0.99801;Mrz 22;01. Jul;09. Jul;5
09. Mrz;0.36;0.39;01. Mai;0.08;41;55;0.99652;Mrz 47;0.73;10. Sep;6
09. Mrz;0.36;0.39;01. Mai;0.08;41;55;0.99652;Mrz 47;0.73;10. Sep;6
07. Jun;0.735;0.02;02. Mai;0.071;10;14;0.99538;Mrz 51;0.71;11. Jul;7
09. Mrz;0.36;0.39;01. Mai;0.08;41;55;0.99652;Mrz 47;0.73;10. Sep;6
08. Feb;0.26;0.34;02. Mai;0.073;16;47;0.99594;03. Apr;0.78;11. Mrz;7
11. Jul;0.28;0.47;01. Jul;0.054;17;32;0.99686;Mrz 15;0.67;10. Jun;7
06. Aug;0.56;0.22;01. Aug;0.074;15;24;0.99438;03. Apr;0.82;11. Feb;6
07. Feb;0.62;0.06;02. Jul;0.077;15;85;0.99746;Mrz 51;0.54;09. Mai;5
05. Aug;01. Jan;0.66;2;0.039;15;88;0.99357;Mrz 66;0.6;11. Mai;6
07. Mai;0.42;0.32;02. Jul;0.067;7;25;0.99628;Mrz 24;0.44;10. Apr;5
07. Feb;0.62;0.06;02. Mai;0.078;17;84;0.99746;Mrz 51;0.53;09. Jul;5
07. Feb;0.62;0.06;02. Jul;0.077;15;85;0.99746;Mrz 51;0.54;09. Mai;5
07. Feb;0.635;0.07;02. Jun;0.077;16;86;0.99748;Mrz 51;0.54;09. Jul;5
06. Aug;0.49;0.22;02. Mrz;0.071;13;24;0.99438;Mrz 41;0.83;11. Mrz;6
06. Sep;0.51;0.23;2;0.072;13;22;0.99438;03. Apr;0.84;11. Feb;6
06. Aug;0.56;0.22;01. Aug;0.074;15;24;0.99438;03. Apr;0.82;11. Feb;6
07. Jun;0.63;0.03;2;0.08;27;43;0.99578;Mrz 44;0.64;10. Sep;6
07. Jul;0.715;0.01;02. Jan;0.064;31;43;0.99371;Mrz 41;0.57;11. Aug;6
06. Sep;0.56;0.03;01. Mai;0.086;36;46;0.99522;Mrz 53;0.57;10. Jun;5
07. Mrz;0.35;0.24;2;0.067;28;48;0.99576;Mrz 43;0.54;10;4
09. Jan;0.21;0.37;01. Jun;0.067;6;10;0.99552;Mrz 23;0.58;11. Jan;7
10. Apr;0.38;0.46;02. Jan;0.104;6;10;0.99664;03. Dez;0.65;11. Aug;7
08. Aug;0.31;0.4;02. Aug;0.109;7;16;0.99614;Mrz 31;0.79;11. Aug;7
07. Jan;0.47;0;02. Feb;0.067;7;14;0.99517;03. Apr;0.58;10. Sep;4
07. Jul;0.715;0.01;02. Jan;0.064;31;43;0.99371;Mrz 41;0.57;11. Aug;6
08. Aug;0.61;0.19;4;0.094;30;69;0.99787;Mrz 22;0.5;10;6
07. Feb;0.6;0.04;02. Mai;0.076;18;88;0.99745;Mrz 53;0.55;09. Mai;5
09. Feb;0.56;0.18;01. Jun;0.078;10;21;0.99576;Mrz 15;0.49;09. Sep;5
07. Jun;0.715;0;02. Jan;0.068;30;35;0.99533;Mrz 48;0.65;11. Apr;6
08. Apr;0.31;0.29;03. Jan;0.194;14;26;0.99536;Mrz 22;0.78;12;6
07. Feb;0.6;0.04;02. Mai;0.076;18;88;0.99745;Mrz 53;0.55;09. Mai;5
08. Aug;0.61;0.19;4;0.094;30;69;0.99787;Mrz 22;0.5;10;6
08. Sep;0.75;0.14;02. Mai;0.086;9;30;0.99824;Mrz 34;0.64;10. Mai;5
9;0.8;0.12;02. Apr;0.083;8;28;0.99836;Mrz 33;0.65;10. Apr;6
10. Jul;0.52;0.38;02. Jun;0.066;29;56;0.99577;Mrz 15;0.79;12. Jan;7
06. Aug;0.57;0;02. Mai;0.072;32;64;0.99491;Mrz 43;0.56;11. Feb;6
10. Jul;0.9;0.34;06. Jun;0.112;23;99;100.289;Mrz 22;0.68;09. Mrz;5
07. Feb;0.34;0.24;2;0.071;30;52;0.99576;Mrz 44;0.58;10. Jan;5
07. Feb;0.66;0.03;02. Mrz;0.078;16;86;0.99743;Mrz 53;0.57;09. Jul;5
10. Jan;0.45;0.23;01. Sep;0.082;10;18;0.99774;Mrz 22;0.65;09. Mrz;6
07. Feb;0.66;0.03;02. Mrz;0.078;16;86;0.99743;Mrz 53;0.57;09. Jul;5
07. Feb;0.63;0.03;02. Feb;0.08;17;88;0.99745;Mrz 53;0.58;09. Aug;6
07. Jan;0.59;0.01;02. Mrz;0.08;27;43;0.9955;Mrz 42;0.58;10. Jul;6
08. Mrz;0.31;0.39;02. Apr;0.078;17;43;0.99444;Mrz 31;0.77;12. Mai;7
07. Jan;0.59;0.01;02. Mrz;0.08;27;43;0.9955;Mrz 42;0.58;10. Jul;6
08. Mrz;0.31;0.39;02. Apr;0.078;17;43;0.99444;Mrz 31;0.77;12. Mai;7
08. Mrz;01. Feb;0.02;03. Apr;0.084;6;11;0.99892;Mrz 48;0.49;11;3
08. Sep;0.31;0.36;02. Jun;0.056;10;39;0.99562;03. Apr;0.69;11. Aug;5
07. Apr;0.635;0.1;02. Apr;0.08;16;33;0.99736;Mrz 58;0.69;10. Aug;7
07. Apr;0.635;0.1;02. Apr;0.08;16;33;0.99736;Mrz 58;0.69;10. Aug;7
06. Aug;0.59;0.06;6;0.06;11;18;0.9962;Mrz 41;0.59;10. Aug;7
06. Aug;0.59;0.06;6;0.06;11;18;0.9962;Mrz 41;0.59;10. Aug;7
09. Feb;0.58;0.2;3;0.081;15;115;0.998;Mrz 23;0.59;09. Mai;5
07. Feb;0.54;0.27;02. Jun;0.084;12;78;0.9964;Mrz 39;0.71;11;5
06. Jan;0.56;0;02. Feb;0.079;6;9;0.9948;Mrz 59;0.54;11. Mai;6
07. Apr;0.52;0.13;02. Apr;0.078;34;61;0.99528;Mrz 43;0.59;10. Aug;6
07. Mrz;0.305;0.39;01. Feb;0.059;7;11;0.99331;Mrz 29;0.52;11. Mai;6
09. Mrz;0.38;0.48;03. Aug;0.132;3;11;0.99577;Mrz 23;0.57;13. Feb;6
09. Jan;0.28;0.46;9;0.114;3;9;0.99901;Mrz 18;0.6;10. Sep;6
10;0.46;0.44;02. Sep;0.065;4;8;0.99674;Mrz 33;0.62;12. Feb;6
09. Apr;0.395;0.46;04. Jun;0.094;3;10;0.99639;Mrz 27;0.64;12. Feb;7
07. Mrz;0.305;0.39;01. Feb;0.059;7;11;0.99331;Mrz 29;0.52;11. Mai;6
08. Jun;0.315;0.4;02. Feb;0.079;3;6;0.99512;Mrz 27;0.67;11. Sep;6
05. Mrz;0.715;0.19;01. Mai;0.161;7;62;0.99395;Mrz 62;0.61;11;5
06. Aug;0.41;0.31;08. Aug;0.084;26;45;0.99824;Mrz 38;0.64;10. Jan;6
08. Apr;0.36;0.32;02. Feb;0.081;32;79;0.9964;03. Mrz;0.72;11;6
08. Apr;0.62;0.12;01. Aug;0.072;38;46;0.99504;Mrz 38;0.89;11. Aug;6
09. Jun;0.41;0.37;02. Mrz;0.091;10;23;0.99786;Mrz 24;0.56;10. Mai;5
08. Apr;0.36;0.32;02. Feb;0.081;32;79;0.9964;03. Mrz;0.72;11;6
08. Apr;0.62;0.12;01. Aug;0.072;38;46;0.99504;Mrz 38;0.89;11. Aug;6
06. Aug;0.41;0.31;08. Aug;0.084;26;45;0.99824;Mrz 38;0.64;10. Jan;6
08. Jun;0.47;0.27;02. Mrz;0.055;14;28;0.99516;Mrz 18;0.8;11. Feb;5
08. Jun;0.22;0.36;01. Sep;0.064;53;77;0.99604;Mrz 47;0.87;11;7
09. Apr;0.24;0.33;02. Mrz;0.061;52;73;0.99786;Mrz 47;0.9;10. Feb;6
08. Apr;0.67;0.19;02. Feb;0.093;11;75;0.99736;03. Feb;0.59;09. Feb;4
08. Jun;0.47;0.27;02. Mrz;0.055;14;28;0.99516;Mrz 18;0.8;11. Feb;5
08. Jul;0.33;0.38;03. Mrz;0.063;10;19;0.99468;03. Mrz;0.73;12;7
06. Jun;0.61;0.01;01. Sep;0.08;8;25;0.99746;Mrz 69;0.73;10. Mai;5
07. Apr;0.61;0.01;2;0.074;13;38;0.99748;Mrz 48;0.65;09. Aug;5
07. Jun;0.4;0.29;01. Sep;0.078;29;66;0.9971;Mrz 45;0.59;09. Mai;6
07. Apr;0.61;0.01;2;0.074;13;38;0.99748;Mrz 48;0.65;09. Aug;5
06. Jun;0.61;0.01;01. Sep;0.08;8;25;0.99746;Mrz 69;0.73;10. Mai;5
08. Aug;0.3;0.38;02. Mrz;0.06;19;72;0.99543;Mrz 39;0.72;11. Aug;6
08. Aug;0.3;0.38;02. Mrz;0.06;19;72;0.99543;Mrz 39;0.72;11. Aug;6
12;0.63;0.5;01. Apr;0.071;6;26;0.99791;03. Jul;0.6;10. Apr;4
07. Feb;0.38;0.38;02. Aug;0.068;23;42;0.99356;Mrz 34;0.72;12. Sep;7
06. Feb;0.46;0.17;01. Jun;0.073;7;11;0.99425;Mrz 61;0.54;11. Apr;5
09. Jun;0.33;0.52;02. Feb;0.074;13;25;0.99509;Mrz 36;0.76;12. Apr;7
09. Sep;0.27;0.49;5;0.082;9;17;0.99484;Mrz 19;0.52;12. Mai;7
10. Jan;0.43;0.4;02. Jun;0.092;13;52;0.99834;Mrz 22;0.64;10;7
09. Aug;0.5;0.34;02. Mrz;0.094;10;45;0.99864;Mrz 24;0.6;09. Jul;7
08. Mrz;0.3;0.49;03. Aug;0.09;11;24;0.99498;Mrz 27;0.64;12. Jan;7
10. Feb;0.44;0.42;2;0.071;7;20;0.99566;Mrz 14;0.79;11. Jan;7
10. Feb;0.44;0.58;04. Jan;0.092;11;24;0.99745;Mrz 29;0.99;12;7
08. Mrz;0.28;0.48;02. Jan;0.093;6;12;0.99408;Mrz 26;0.62;12. Apr;7
08. Sep;0.12;0.45;01. Aug;0.075;10;21;0.99552;Mrz 41;0.76;11. Sep;7
08. Sep;0.12;0.45;01. Aug;0.075;10;21;0.99552;Mrz 41;0.76;11. Sep;7
08. Sep;0.12;0.45;01. Aug;0.075;10;21;0.99552;Mrz 41;0.76;11. Sep;7
08. Mrz;0.28;0.48;02. Jan;0.093;6;12;0.99408;Mrz 26;0.62;12. Apr;7
08. Feb;0.31;0.4;02. Feb;0.058;6;10;0.99536;Mrz 31;0.68;11. Feb;7
10. Feb;0.34;0.48;02. Jan;0.052;5;9;0.99458;03. Feb;0.69;12. Jan;7
07. Jun;0.43;0.4;02. Jul;0.082;6;11;0.99538;Mrz 44;0.54;12. Feb;6
08. Mai;0.21;0.52;01. Sep;0.09;9;23;0.99648;Mrz 36;0.67;10. Apr;5
9;0.36;0.52;02. Jan;0.111;5;10;0.99568;Mrz 31;0.62;11. Mrz;6
09. Mai;0.37;0.52;2;0.088;12;51;0.99613;Mrz 29;0.58;11. Jan;6
06. Apr;0.57;0.12;02. Mrz;0.12;25;36;0.99519;Mrz 47;0.71;11. Mrz;7
8;0.59;0.05;2;0.089;12;32;0.99735;Mrz 36;0.61;10;5
08. Mai;0.47;0.27;01. Sep;0.058;18;38;0.99518;Mrz 16;0.85;11. Jan;6
07. Jan;0.56;0.14;01. Jun;0.078;7;18;0.99592;Mrz 27;0.62;09. Mrz;5
06. Jun;0.57;0.02;02. Jan;0.115;6;16;0.99654;Mrz 38;0.69;09. Mai;5
08. Aug;0.27;0.39;2;0.1;20;27;0.99546;Mrz 15;0.69;11. Feb;6
08. Mai;0.47;0.27;01. Sep;0.058;18;38;0.99518;Mrz 16;0.85;11. Jan;6
08. Mrz;0.34;0.4;02. Apr;0.065;24;48;0.99554;Mrz 34;0.86;11;6
9;0.38;0.41;02. Apr;0.103;6;10;0.99604;Mrz 13;0.58;11. Sep;7
08. Mai;0.66;0.2;02. Jan;0.097;23;113;0.99733;Mrz 13;0.48;09. Feb;5
9;0.4;0.43;02. Apr;0.068;29;46;0.9943;03. Feb;0.6;12. Feb;6
06. Jul;0.56;0.09;02. Sep;0.079;7;22;0.99669;Mrz 46;0.61;10. Feb;5
10. Apr;0.26;0.48;01. Sep;0.066;6;10;0.99724;Mrz 33;0.87;10. Sep;6
10. Apr;0.26;0.48;01. Sep;0.066;6;10;0.99724;Mrz 33;0.87;10. Sep;6
10. Jan;0.38;0.5;02. Apr;0.104;6;13;0.99643;Mrz 22;0.65;11. Jun;7
08. Mai;0.34;0.44;01. Jul;0.079;6;12;0.99605;Mrz 52;0.63;10. Jul;5
08. Aug;0.33;0.41;05. Sep;0.073;7;13;0.99658;03. Mrz;0.62;12. Jan;7
07. Feb;0.41;0.3;02. Jan;0.083;35;72;0.997;Mrz 44;0.52;09. Apr;5
07. Feb;0.41;0.3;02. Jan;0.083;35;72;0.997;Mrz 44;0.52;09. Apr;5
08. Apr;0.59;0.29;02. Jun;0.109;31;119;0.99801;Mrz 15;0.5;09. Jan;5
7;0.4;0.32;03. Jun;0.061;9;29;0.99416;Mrz 28;0.49;11. Mrz;7
12. Feb;0.45;0.49;01. Apr;0.075;3;6;0.9969;Mrz 13;0.63;10. Apr;5
09. Jan;0.5;0.3;01. Sep;0.065;8;17;0.99774;Mrz 32;0.71;10. Mai;6
09. Mai;0.86;0.26;01. Sep;0.079;13;28;0.99712;Mrz 25;0.62;10;5
07. Mrz;0.52;0.32;02. Jan;0.07;51;70;0.99418;Mrz 34;0.82;12. Sep;6
09. Jan;0.5;0.3;01. Sep;0.065;8;17;0.99774;Mrz 32;0.71;10. Mai;6
12. Feb;0.45;0.49;01. Apr;0.075;3;6;0.9969;Mrz 13;0.63;10. Apr;5
07. Apr;0.58;0;2;0.064;7;11;0.99562;Mrz 45;0.58;11. Mrz;6
09. Aug;0.34;0.39;01. Apr;0.066;3;7;0.9947;Mrz 19;0.55;11. Apr;7
07. Jan;0.36;0.3;01. Jun;0.08;35;70;0.99693;Mrz 44;0.5;09. Apr;5
07. Jul;0.39;0.12;01. Jul;0.097;19;27;0.99596;Mrz 16;0.49;09. Apr;5
09. Jul;0.295;0.4;01. Mai;0.073;14;21;0.99556;Mrz 14;0.51;10. Sep;6
07. Jul;0.39;0.12;01. Jul;0.097;19;27;0.99596;Mrz 16;0.49;09. Apr;5
07. Jan;0.34;0.28;2;0.082;31;68;0.99694;Mrz 45;0.48;09. Apr;5
06. Mai;0.4;0.1;2;0.076;30;47;0.99554;Mrz 36;0.48;09. Apr;6
07. Jan;0.34;0.28;2;0.082;31;68;0.99694;Mrz 45;0.48;09. Apr;5
10;0.35;0.45;02. Mai;0.092;20;88;0.99918;Mrz 15;0.43;09. Apr;5
07. Jul;0.6;0.06;2;0.079;19;41;0.99697;Mrz 39;0.62;10. Jan;6
05. Jun;0.66;0;02. Feb;0.087;3;11;0.99378;Mrz 71;0.63;12. Aug;7
05. Jun;0.66;0;02. Feb;0.087;3;11;0.99378;Mrz 71;0.63;12. Aug;7
08. Sep;0.84;0.34;01. Apr;0.05;4;10;0.99554;03. Dez;0.48;09. Jan;6
06. Apr;0.69;0;Jan 65;0.055;7;12;0.99162;Mrz 47;0.53;12. Sep;6
07. Mai;0.43;0.3;02. Feb;0.062;6;12;0.99495;Mrz 44;0.72;11. Mai;7
09. Sep;0.35;0.38;01. Mai;0.058;31;47;0.99676;Mrz 26;0.82;10. Jun;7
09. Jan;0.29;0.33;02. Mai;0.063;13;27;0.99516;Mrz 26;0.84;11. Jul;7
06. Aug;0.36;0.32;01. Aug;0.067;4;8;0.9928;Mrz 36;0.55;12. Aug;7
08. Feb;0.43;0.29;01. Jun;0.081;27;45;0.99603;Mrz 25;0.54;10. Mrz;5
06. Aug;0.36;0.32;01. Aug;0.067;4;8;0.9928;Mrz 36;0.55;12. Aug;7
09. Jan;0.29;0.33;02. Mai;0.063;13;27;0.99516;Mrz 26;0.84;11. Jul;7
09. Jan;0.3;0.34;2;0.064;12;25;0.99516;Mrz 26;0.84;11. Jul;7
08. Sep;0.35;0.4;03. Jun;0.11;12;24;0.99549;Mrz 23;0.7;12;7
09. Jun;0.5;0.36;02. Aug;0.116;26;55;0.99722;Mrz 18;0.68;10. Sep;5
08. Sep;0.28;0.45;01. Jul;0.067;7;12;0.99354;Mrz 25;0.55;12. Mrz;7
08. Sep;0.32;0.31;2;0.088;12;19;0.9957;Mrz 17;0.55;10. Apr;6
07. Jul;1.005;0.15;02. Jan;0.102;11;32;0.99604;Mrz 23;0.48;10;5
07. Mai;0.71;0;01. Jun;0.092;22;31;0.99635;Mrz 38;0.58;10;6
8;0.58;0.16;2;0.12;3;7;0.99454;Mrz 22;0.58;11. Feb;6
10. Mai;0.39;0.46;02. Feb;0.075;14;27;0.99598;03. Jun;0.84;11. Apr;6
08. Sep;0.38;0.4;02. Feb;0.068;12;28;0.99486;Mrz 27;0.75;12. Jun;7
8;0.18;0.37;0.9;0.049;36;109;0.99007;Feb 89;0.44;12. Jul;6
8;0.18;0.37;0.9;0.049;36;109;0.99007;Feb 89;0.44;12. Jul;6
7;0.5;0.14;01. Aug;0.078;10;23;0.99636;Mrz 53;0.61;10. Apr;5
11. Mrz;0.36;0.66;02. Apr;0.123;3;8;0.99642;03. Feb;0.53;11. Sep;6
11. Mrz;0.36;0.66;02. Apr;0.123;3;8;0.99642;03. Feb;0.53;11. Sep;6
7;0.51;0.09;02. Jan;0.062;4;9;0.99584;Mrz 35;0.54;10. Mai;5
08. Feb;0.32;0.42;02. Mrz;0.098;3;9;0.99506;Mrz 27;0.55;12. Mrz;6
07. Jul;0.58;0.01;01. Aug;0.088;12;18;0.99568;Mrz 32;0.56;10. Mai;7
08. Jun;0.83;0;02. Aug;0.095;17;43;0.99822;Mrz 33;0.6;10. Apr;6
07. Sep;0.31;0.32;01. Sep;0.066;14;36;0.99364;Mrz 41;0.56;12. Jun;6
06. Apr;0.795;0;02. Feb;0.065;28;52;0.99378;Mrz 49;0.52;11. Jun;5
07. Feb;0.34;0.21;02. Mai;0.075;41;68;0.99586;Mrz 37;0.54;10. Jan;6
07. Jul;0.58;0.01;01. Aug;0.088;12;18;0.99568;Mrz 32;0.56;10. Mai;7
07. Jan;0.59;0;02. Jan;0.091;9;14;0.99488;Mrz 42;0.55;11. Mai;7
07. Mrz;0.55;0.01;01. Aug;0.093;9;15;0.99514;Mrz 35;0.58;11;7
08. Jan;0.82;0;04. Jan;0.095;5;14;0.99854;Mrz 36;0.53;09. Jun;5
07. Mai;0.57;0.08;02. Jun;0.089;14;27;0.99592;03. Mrz;0.59;10. Apr;6
08. Sep;0.745;0.18;02. Mai;0.077;15;48;0.99739;03. Feb;0.47;09. Jul;6
10. Jan;0.37;0.34;02. Apr;0.085;5;17;0.99683;Mrz 17;0.65;10. Jun;7
07. Jun;0.31;0.34;02. Mai;0.082;26;35;0.99356;Mrz 22;0.59;12. Mai;7
07. Mrz;0.91;0.1;01. Aug;0.074;20;56;0.99672;Mrz 35;0.56;09. Feb;5
08. Jul;0.41;0.41;06. Feb;0.078;25;42;0.9953;Mrz 24;0.77;12. Jun;7
08. Sep;0.5;0.21;02. Feb;0.088;21;39;0.99692;Mrz 33;0.83;11. Jan;6
07. Apr;0.965;0;02. Feb;0.088;16;32;0.99756;Mrz 58;0.67;10. Feb;5
06. Sep;0.49;0.19;01. Jul;0.079;13;26;0.99547;Mrz 38;0.64;09. Aug;6
08. Sep;0.5;0.21;02. Feb;0.088;21;39;0.99692;Mrz 33;0.83;11. Jan;6
09. Mai;0.39;0.41;08. Sep;0.069;18;39;0.99859;Mrz 29;0.81;10. Sep;7
06. Apr;0.39;0.33;03. Mrz;0.046;12;53;0.99294;Mrz 36;0.62;12. Feb;6
06. Sep;0.44;0;01. Apr;0.07;32;38;0.99438;Mrz 32;0.58;11. Apr;6
07. Jun;0.78;0;01. Jul;0.076;33;45;0.99612;Mrz 31;0.62;10. Jul;6
07. Jan;0.43;0.17;01. Aug;0.082;27;51;0.99634;Mrz 49;0.64;10. Apr;5
09. Mrz;0.49;0.36;01. Jul;0.081;3;14;0.99702;Mrz 27;0.78;10. Sep;6
09. Mrz;0.5;0.36;01. Aug;0.084;6;17;0.99704;Mrz 27;0.77;10. Aug;6
07. Jan;0.43;0.17;01. Aug;0.082;27;51;0.99634;Mrz 49;0.64;10. Apr;5
08. Mai;0.46;0.59;01. Apr;0.414;16;45;0.99702;03. Mrz;Jan 34;09. Feb;5
05. Jun;0.605;0.05;02. Apr;0.073;19;25;0.99258;Mrz 56;0.55;12. Sep;5
08. Mrz;0.33;0.42;02. Mrz;0.07;9;20;0.99426;Mrz 38;0.77;12. Jul;7
08. Feb;0.64;0.27;2;0.095;5;77;0.99747;Mrz 13;0.62;09. Jan;6
08. Feb;0.64;0.27;2;0.095;5;77;0.99747;Mrz 13;0.62;09. Jan;6
08. Sep;0.48;0.53;4;0.101;3;10;0.99586;Mrz 21;0.59;12. Jan;7
07. Jun;0.42;0.25;03. Sep;0.104;28;90;0.99784;Mrz 15;0.57;09. Jan;5
09. Sep;0.53;0.57;02. Apr;0.093;30;52;0.9971;Mrz 19;0.76;11. Jun;7
08. Sep;0.48;0.53;4;0.101;3;10;0.99586;Mrz 21;0.59;12. Jan;7
11. Jun;0.23;0.57;01. Aug;0.074;3;8;0.9981;Mrz 14;0.7;09. Sep;6
09. Jan;0.4;0.5;01. Aug;0.071;7;16;0.99462;Mrz 21;0.69;12. Mai;8
8;0.38;0.44;01. Sep;0.098;6;15;0.9956;03. Mrz;0.64;11. Apr;6
10. Feb;0.29;0.65;02. Apr;0.075;6;17;0.99565;Mrz 22;0.63;11. Aug;6
08. Feb;0.74;0.09;2;0.067;5;10;0.99418;Mrz 28;0.57;11. Aug;6
07. Jul;0.61;0.18;02. Apr;0.083;6;20;0.9963;Mrz 29;0.6;10. Feb;6
06. Jun;0.52;0.08;02. Apr;0.07;13;26;0.99358;03. Apr;0.72;12. Mai;7
11. Jan;0.31;0.53;02. Feb;0.06;3;10;0.99572;03. Feb;0.83;10. Sep;7
11. Jan;0.31;0.53;02. Feb;0.06;3;10;0.99572;03. Feb;0.83;10. Sep;7
8;0.62;0.35;02. Aug;0.086;28;52;0.997;Mrz 31;0.62;10. Aug;5
09. Mrz;0.33;0.45;01. Mai;0.057;19;37;0.99498;Mrz 18;0.89;11. Jan;7
07. Mai;0.77;0.2;08. Jan;0.098;30;92;0.99892;03. Feb;0.58;09. Feb;5
07. Feb;0.35;0.26;01. Aug;0.083;33;75;0.9968;03. Apr;0.58;09. Mai;6
8;0.62;0.33;02. Jul;0.088;16;37;0.9972;Mrz 31;0.58;10. Jul;6
07. Mai;0.77;0.2;08. Jan;0.098;30;92;0.99892;03. Feb;0.58;09. Feb;5
09. Jan;0.25;0.34;2;0.071;45;67;0.99769;Mrz 44;0.86;10. Feb;7
09. Sep;0.32;0.56;2;0.073;3;8;0.99534;Mrz 15;0.73;11. Apr;6
08. Jun;0.37;0.65;06. Apr;0.08;3;8;0.99817;Mrz 27;0.58;11;5
08. Jun;0.37;0.65;06. Apr;0.08;3;8;0.99817;Mrz 27;0.58;11;5
07. Sep;0.3;0.68;08. Mrz;0.05;37.5;278;0.99316;03. Jan;0.51;12. Mrz;7
10. Mrz;0.27;0.56;01. Apr;0.047;3;8;0.99471;Mrz 16;0.51;11. Aug;6
07. Sep;0.3;0.68;08. Mrz;0.05;37.5;289;0.99316;03. Jan;0.51;12. Mrz;7
07. Feb;0.38;0.3;01. Aug;0.073;31;70;0.99685;Mrz 42;0.59;09. Mai;6
08. Jul;0.42;0.45;02. Apr;0.072;32;59;0.99617;Mrz 33;0.77;12;6
07. Feb;0.38;0.3;01. Aug;0.073;31;70;0.99685;Mrz 42;0.59;09. Mai;6
06. Aug;0.48;0.08;01. Aug;0.074;40;64;0.99529;03. Dez;0.49;09. Jun;5
08. Mai;0.34;0.4;04. Jul;0.055;3;9;0.99738;Mrz 38;0.66;11. Jun;7
07. Sep;0.19;0.42;01. Jun;0.057;18;30;0.994;Mrz 29;0.69;11. Feb;6
11. Jun;0.41;0.54;01. Mai;0.095;22;41;0.99735;03. Feb;0.76;09. Sep;7
11. Jun;0.41;0.54;01. Mai;0.095;22;41;0.99735;03. Feb;0.76;09. Sep;7
10;0.26;0.54;01. Sep;0.083;42;74;0.99451;Feb 98;0.63;11. Aug;8
07. Sep;0.34;0.42;2;0.086;8;19;0.99546;Mrz 35;0.6;11. Apr;6
7;0.54;0.09;2;0.081;10;16;0.99479;Mrz 43;0.59;11. Mai;6
09. Feb;0.31;0.36;02. Feb;0.079;11;31;0.99615;Mrz 33;0.86;12;7
06. Jun;0.725;0.09;05. Mai;0.117;9;17;0.99655;Mrz 35;0.49;10. Aug;6
09. Apr;0.4;0.47;02. Mai;0.087;6;20;0.99772;Mrz 15;0.5;10. Mai;5
06. Jun;0.725;0.09;05. Mai;0.117;9;17;0.99655;Mrz 35;0.49;10. Aug;6
08. Jun;0.52;0.38;01. Mai;0.096;5;18;0.99666;03. Feb;0.52;09. Apr;5
8;0.31;0.45;02. Jan;0.216;5;16;0.99358;Mrz 15;0.81;12. Mai;7
08. Jun;0.52;0.38;01. Mai;0.096;5;18;0.99666;03. Feb;0.52;09. Apr;5
